Unnamed: 0,track_id,artist,album_name,track_name,popularity,explicit,danceability,energy,valence,track_genre,duration_min,is_loud,is_live,year,title,category,nominee,nominated,decade,gender,country,death,award_count,won_grammy,awards_list
52091,7wknMXNNLVLq0qr5PkFEL8,hank williams,40 Greatest Hits,(I Heard That) Lonesome Whistle - Single Version,Low,False,High,Low,Neutral,Blues,Short,False,False,2014.0,57th Annual GRAMMY Awards  (2014),Best Historical Album,"The Garden Spot Programs, 1950",True,2010.0,male,United States,deceased,3.0,True,Grammy Lifetime Achievement Award; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
52383,2FH4XizQkifQTG9kPIts3L,hank williams,The Complete Hank Williams,(I'm) Going Home,Low,False,High,Medium,Very Happy,Blues,Very Short,False,False,2014.0,57th Annual GRAMMY Awards  (2014),Best Historical Album,"The Garden Spot Programs, 1950",True,2010.0,male,United States,deceased,3.0,True,Grammy Lifetime Achievement Award; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
52971,2k3SWquzJQW8l9tSflpwZv,george jones,Mr. Country and Western,(Just) A Girl I Used To Know,Low,False,High,Low,Very Happy,Blues,Short,False,False,1999.0,42nd Annual GRAMMY Awards  (1999),Best Male Country Vocal Performance,Choices,True,1990.0,male,Australia,deceased,8.0,True,Distinguished Flying Cross; Distinguished Flying Cross (Reino Unido); Distinguished Flying Cross (Storbritannien); Grammy Lifetime Achievement Award; Kennedy Pris; Keskoweth Ordyr Bath; Naitional Medal o Airts; National Medal of Arts
52862,2efe3zZI6A0yawiPNiY3Wj,hank williams,Sing Me A Blue Song (Undubbed Edition),(Last Night) I Heard You Crying In Your Sleep,Low,False,Medium,Medium,Happy,Blues,Short,False,False,2014.0,57th Annual GRAMMY Awards  (2014),Best Historical Album,"The Garden Spot Programs, 1950",True,2010.0,male,United States,deceased,3.0,True,Grammy Lifetime Achievement Award; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
92623,4qbLOU1T7xgTH87eUSkvJ1,elvis presley,Elvis 30 #1 Hits,(Marie's The Name) His Latest Flame,Medium,False,High,High,Very Happy,Rock,Short,False,False,1974.0,17th Annual GRAMMY Awards  (1974),Best Inspirational Performance (Non-Classical),How Great Thou Art,True,1970.0,male,United States,deceased,6.0,True,Grammy Award; Grammy Awards; Grammy Lifetime Achievement Award; Grammy Sariak; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
92959,6aKzxns1rGMjLSij4PuWhh,elvis presley,Elvis 30 #1 Hits (Expanded Edition),(Now and Then There's) A Fool Such as I,Medium,False,Medium,High,Happy,Rock,Short,False,False,1974.0,17th Annual GRAMMY Awards  (1974),Best Inspirational Performance (Non-Classical),How Great Thou Art,True,1970.0,male,United States,deceased,6.0,True,Grammy Award; Grammy Awards; Grammy Lifetime Achievement Award; Grammy Sariak; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
8423,3zBhihYUHBmGd2bcQIobrF,otis redding,The Dock of the Bay (Mono),(Sittin' On) the Dock of the Bay,High,False,High,Medium,Neutral,Blues,Short,False,False,2017.0,60th Annual GRAMMY Awards  (2017),Best Album Notes,Live At The Whisky A Go Go: The Complete Recordings,True,2010.0,male,United States,deceased,5.0,True,Grammy Award; Grammy Awards; Grammy Lifetime Achievement Award; Grammy Sariak; Rock and Roll Hall of Fame
52099,7kVJV8rH5PtYHlqMsR4ZQB,george jones,George Jones and Tammy Wynette - 16 Biggest Hits,(We're Not) The Jet Set,Low,False,Medium,Low,Neutral,Blues,Short,False,False,1999.0,42nd Annual GRAMMY Awards  (1999),Best Male Country Vocal Performance,Choices,True,1990.0,male,Australia,deceased,8.0,True,Distinguished Flying Cross; Distinguished Flying Cross (Reino Unido); Distinguished Flying Cross (Storbritannien); Grammy Lifetime Achievement Award; Kennedy Pris; Keskoweth Ordyr Bath; Naitional Medal o Airts; National Medal of Arts
21266,5nEdwtSv0qqeE0l4o1lR4q,sean paul,(When You Gonna) Give It up to Me (feat. Keyshia Cole),(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,High,False,High,High,Happy,Reggae/Dancehall,Average,True,False,2003.0,46th Annual GRAMMY Awards  (2003),Best Reggae Album,Dutty Rock,True,2000.0,male,Jamaica,alive,2.0,True,Grammy Award al miglior album reggae; Grammy Award for Best Reggae Album
8779,5K09WxKdlkroDyEVyOSySy,aretha franklin,Lady Soul (With Bonus Selections),(You Make Me Feel Like) A Natural Woman,High,False,High,Low,Neutral,Blues,Short,False,False,2007.0,50th Annual GRAMMY Awards  (2007),Best Gospel Performance,Never Gonna Break My Faith,True,2000.0,female,United States,deceased,16.0,True,American Music Award; American Music Award for Favorite Soul/R&B Album; Grammy Hall of Fame; Grammy Hall of Fame Award; Grammy Lifetime Achievement Award; Kennedy Pris; Michigan Women's Hall of Fame; MusiCares Տարուան մարդ; NAACP Image Award փառքի սրահ; NAACP Image Award – Hall of Fame Award; Naitional Medal o Airts; National Medal of Arts; Rock and Roll Hall of Fame; dochtúireacht oinigh ó Ollscoil Harvard; honorary doctor of Harvard University; star on Hollywood Walk of Fame
90850,2hEwjc5DZVPcC4cVVBuMr5,elvis presley,"Elvis' Gold Records, Vol. 4",(You're The) Devil In Disguise,Medium,False,Medium,Medium,Very Happy,Rock,Short,False,False,1974.0,17th Annual GRAMMY Awards  (1974),Best Inspirational Performance (Non-Classical),How Great Thou Art,True,1970.0,male,United States,deceased,6.0,True,Grammy Award; Grammy Awards; Grammy Lifetime Achievement Award; Grammy Sariak; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
90050,0D1pEisM3QkiacGXJe5dmd,elvis presley,Elvis 30 #1 Hits,(You're The) Devil in Disguise,High,False,Medium,High,Very Happy,Rock,Short,False,False,1974.0,17th Annual GRAMMY Awards  (1974),Best Inspirational Performance (Non-Classical),How Great Thou Art,True,1970.0,male,United States,deceased,6.0,True,Grammy Award; Grammy Awards; Grammy Lifetime Achievement Award; Grammy Sariak; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
95781,1Ti3nVSzjQX9JgnS5UHJiO,marc anthony,The Cali Sessions,-Te Conozoco Bien,Low,False,Medium,Medium,Neutral,Latin,Long,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Tropical Latin Album,Opus,True,2010.0,male,United States,alive,2.0,False,Lo Nuestro Award for Tropical Album of the Year; star on Hollywood Walk of Fame
95509,7JRxhVAJDCye7fHjFufJ41,marc anthony,The Cali Sessions,-Tu Amor Me Hace Bien,Low,False,Medium,Medium,Happy,Latin,Average,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Tropical Latin Album,Opus,True,2010.0,male,United States,alive,2.0,False,Lo Nuestro Award for Tropical Album of the Year; star on Hollywood Walk of Fame
95961,6QJsZJ7YTtWbHakhAEBdNg,marc anthony,The Cali Sessions,-Valio La Pena,Low,False,Medium,Medium,Very Happy,Latin,Long,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Tropical Latin Album,Opus,True,2010.0,male,United States,alive,2.0,False,Lo Nuestro Award for Tropical Album of the Year; star on Hollywood Walk of Fame
82989,7bfaGEsUeb8dGWg58uxyyA,elvis costello,Spike,...This Town...,Low,False,High,High,Very Happy,Pop,Average,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Traditional Pop Vocal Album,Look Now,True,2010.0,male,United Kingdom,alive,4.0,False,Americana Lifetime Achievement Award for Songwriting; Oifigeach Ord Impireacht na Breataine; Oifigear Òrd Impireachd Bhreatainn; Rock and Roll Hall of Fame
4944,3bCmDqflFBHijgJfvtqev5,brian eno,Ambient 1: Music For Airports (Remastered 2004),1/1 - Remastered 2004,Medium,False,Low,Low,Very Sad,Ambient/Chill,Very Long,False,False,2009.0,52nd Annual GRAMMY Awards  (2009),Best Recording Package,Everything That Happens Will Happen Today,True,2000.0,male,United Kingdom,alive,1.0,False,Rock and Roll Hall of Fame
2208,0fxpHpK3aw2nFWII6yveDD,matt redman,"10,000 Reasons (Live)","10,000 Reasons (Bless The Lord) - Live",High,False,Medium,Medium,Sad,Rock,Long,False,False,2012.0,55th Annual GRAMMY Awards  (2012),Best Gospel/Contemporary Christian Music Performance,"10,000 Reasons (Bless The Lord)",True,2010.0,male,United Kingdom,alive,1.0,False,Dove Award for Songwriter of the Year
113820,6RZ8i45jxuvih2qeNfoUdv,matt redman,Passion: White Flag,"10,000 Reasons (Bless The Lord) - Live",Medium,False,Medium,Medium,Sad,World Music,Long,False,False,2012.0,55th Annual GRAMMY Awards  (2012),Best Gospel/Contemporary Christian Music Performance,"10,000 Reasons (Bless The Lord)",True,2010.0,male,United Kingdom,alive,1.0,False,Dove Award for Songwriter of the Year
2565,2MobJagQB0dGJoRqI8OT0m,matt redman,Sing Like Never Before: The Essential Collection,"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",High,False,Medium,Medium,Sad,Rock,Average,False,False,2012.0,55th Annual GRAMMY Awards  (2012),Best Gospel/Contemporary Christian Music Performance,"10,000 Reasons (Bless The Lord)",True,2010.0,male,United Kingdom,alive,1.0,False,Dove Award for Songwriter of the Year
92861,6Pt0UcyBb3Hf08G0OkQqth,bobby darin,I Got Rhythm,18 Yellow Roses,Medium,False,High,Medium,Happy,Rock,Short,False,False,1959.0,2nd Annual GRAMMY Awards  (1959),Record Of The Year,Mack The Knife,True,1950.0,male,United States,deceased,6.0,True,Grammy Award for Best New Artist; Grammy Award for Record of the Year; Grammy Award for beste nye artist; Grammy Lifetime Achievement Award; Grammy al millor nou artista; star on Hollywood Walk of Fame
44559,6BcF4tXjinsT9NBYFoxS6t,linkin park,Reanimation,1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Medium,False,Medium,High,Sad,Rock,Long,False,False,2005.0,48th Annual GRAMMY Awards  (2005),Best Rap/Sung Collaboration,Numb/Encore,True,2000.0,Unknown,Unknown,alive,5.0,False,American Music Award a l'artista alternatiu favorit; American Music Award for Favorite Alternative Rock Artist; American Music Award for beste artist innen alternativ rock; Mnet Asian Music Award al millor artista internacional; Mnet Asian Music Award for Best International Artist
51832,7G14nXWL7rfDe4bRRENIFt,lizzo,All That Really Matters - Just Hits,2 Be Loved (Am I Ready),Low,False,High,High,Very Happy,Hip-Hop,Short,True,False,2019.0,62nd Annual GRAMMY Awards  (2019),Record Of The Year,Truth Hurts,True,2010.0,female,United States,alive,5.0,True,BET Award for Best R&B Artists; Grammy Award al miglior album R&B progressivo; Grammy Award for Best Progressive R&B Album; Grammy Award for Best Urban Contemporary Album; Soul Train Music Award for Best R&B/Soul Album of the Year
39952,0UWa0AdUscdQUI7mjjx6G1,hans zimmer,Blade Runner 2049 (Original Motion Picture Soundtrack),2049,Medium,False,Low,Low,Very Sad,World Music,Average,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Score Soundtrack For Visual Media,The Lion King,True,2010.0,male,Germany,alive,10.0,True,"Goethe saria; Gold Medal of Merit in the Fine Arts; Grammy Award; Grammy Award for Best Arrangement, Instrumental and Vocals; Grammy Awards; Grammy Sariak; Saturn Award; Stephen Hawking Medal For Science Communication; Stephen Hawking Medal for Science Communication; star on Hollywood Walk of Fame"
86003,3IHHqmfKJHyI0obINUdg1W,green day,21st Century Breakdown,21 Guns,Medium,False,Low,High,Neutral,Punk,Long,True,False,2009.0,52nd Annual GRAMMY Awards  (2009),Best Rock Album,21st Century Breakdown,True,2000.0,Unknown,Unknown,alive,1.0,False,Rock and Roll Hall of Fame
86902,0Qx3WZTUUmcyKR5jCDWojv,green day,21st Century Breakdown,21st Century Breakdown,Medium,False,Low,High,Neutral,Punk,Long,True,False,2009.0,52nd Annual GRAMMY Awards  (2009),Best Rock Album,21st Century Breakdown,True,2000.0,Unknown,Unknown,alive,1.0,False,Rock and Roll Hall of Fame
21477,7EqoATlXAKNwzv45LAlqRt,burna boy,Twice As Tall,23,Medium,True,High,Medium,Neutral,Reggae/Dancehall,Average,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best World Music Album,African Giant,True,2010.0,male,Nigeria,alive,14.0,True,BET Awards; BET Awards 2021; Edison Award; Edison Awards; Edison Music Awards; Edisons; Grammy Award; Grammy Awards; Grammy Sariak; MOBO Awards; NME Awards; Soundcity MVP Awards Festival; The Edison Award; The Headies
21037,6phUiTdE97Qq2sPNvbAlLP,burna boy,CruiseControl: How I Met The Biggest Bird (DJ Mix),23 (Mixed),Low,False,High,Medium,Happy,Reggae/Dancehall,Very Short,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best World Music Album,African Giant,True,2010.0,male,Nigeria,alive,14.0,True,BET Awards; BET Awards 2021; Edison Award; Edison Awards; Edison Music Awards; Edisons; Grammy Award; Grammy Awards; Grammy Sariak; MOBO Awards; NME Awards; Soundcity MVP Awards Festival; The Edison Award; The Headies
81222,4FQZ1qUU6ds4QKL9s74uV8,ed sheeran,Hits Hits Hits,2step,Low,False,High,Medium,Neutral,Pop,Short,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Pop Vocal Album,No.6 Collaborations Project,True,2010.0,male,United Kingdom,alive,13.0,True,American Music Award al millor artista pop-rock; BRIT Awards; BRIT Awards/Best British Album; Ball d'Ord Impireacht na Breataine; Ball Òrd Impireachd Bhreatainn; Brit Award; Brit Award for British Album of the Year; Brit Award for British Breakthrough Act; Brit Awards; ECHO Awards; Echo Pop for årets hit; Grammy Award for Best Pop Vocal Album; Grammy Award for Song of the Year
18500,5orUhwRVuVCtRYxg3FzidD,lady gaga,The Wack Album,3-Way (The Golden Rule),Medium,True,High,High,Neutral,Comedy/Novelty,Short,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Always Remember Us This Way,True,2010.0,female,United States,alive,11.0,True,BAFTA Award for Best Film Music; BAFTA Award for Best Original Music; Duais an Acadaimh don amhrán nuachumtha is fearr; ECHO Awards; Echo Pop for årets hit; Grammy Award for Best Dance Recording; Grammy Award for Best Pop Vocal Album; Grammy Award for Best Song Written for Visual Media; Grammy Award for Best Traditional Pop Vocal Album; The Record of the Year; премия The Record of the Year
20153,6Im9k8u9iIzKMrmV7BWtlF,ariana grande,Positions,34+35,Very High,True,High,Medium,Neutral,Dance,Short,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Record Of The Year,7 rings,True,2010.0,female,United States,alive,15.0,True,American Music Award ao artista do ano; American Music Award for Artist of the Year; American Music Award for New Artist of the Year; American Music Award артисту года; American Music Award տարվա դերասանին; Artist of the Year; Billboard Music Award; Billboard Music Awards; Grammy Award; Grammy Awards; Grammy Sariak; Kids' Choice Awards; Kids’ Choice Awards; New Artist of the Year; honorary citizen of Manchester
1554,41irZgb5B8FQrOghV9nMtg,ali farka touré,Ali & Toumani,56,Low,False,Medium,Medium,Neutral,World Music,Long,False,False,2010.0,53rd Annual GRAMMY Awards  (2010),Best Traditional World Music Album,Ali And Toumani,True,2010.0,male,Mali,deceased,2.0,True,Grammy Award for Best Global Music Album; Grammy Award for Best Traditional World Music Album
16877,7dsE2cTKeNmCW4gzkvr3VH,london symphony orchestra,Mozart: A Night of Classics,"6 German Dances, K. 509: No. 2 in G Major",Low,False,Medium,Low,Sad,Classical,Very Short,False,False,2009.0,52nd Annual GRAMMY Awards  (2009),Best Opera Recording,Britten: Billy Budd,True,2000.0,Unknown,Unknown,alive,1.0,False,Gramophone Award for Lifetime Achievement
16795,454UCF9pZF68npiKK9lAks,london symphony orchestra,Mozart - All Day Classics,"6 German Dances, K. 509: No. 3 in E-Flat Major",Low,False,Low,Medium,Neutral,Classical,Very Short,False,False,2009.0,52nd Annual GRAMMY Awards  (2009),Best Opera Recording,Britten: Billy Budd,True,2000.0,Unknown,Unknown,alive,1.0,False,Gramophone Award for Lifetime Achievement
20009,6ocbgoVGwYJhOv1GgI9NsF,ariana grande,"thank u, next",7 rings,Very High,True,High,Medium,Sad,Dance,Short,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Record Of The Year,7 rings,True,2010.0,female,United States,alive,15.0,True,American Music Award ao artista do ano; American Music Award for Artist of the Year; American Music Award for New Artist of the Year; American Music Award артисту года; American Music Award տարվա դերասանին; Artist of the Year; Billboard Music Award; Billboard Music Awards; Grammy Award; Grammy Awards; Grammy Sariak; Kids' Choice Awards; Kids’ Choice Awards; New Artist of the Year; honorary citizen of Manchester
19153,1gH8QigoIquQ3diZp0Ht6l,tim mcgraw,Sad Country Songs,7500 OBO,Low,False,Medium,High,Neutral,Country,Average,False,False,2016.0,59th Annual GRAMMY Awards  (2016),Best Country Song,Humble And Kind,True,2010.0,male,United States,alive,1.0,False,star on Hollywood Walk of Fame
7951,6MFlhZhdHvAJXFFf4MguHu,chris thile,Not Our First Goat Rodeo,757 ml,Low,False,Medium,Low,Neutral,Blues,Long,False,False,2014.0,57th Annual GRAMMY Awards  (2014),Best Contemporary Instrumental Album,Bass & Mandolin,True,2010.0,male,United States,alive,5.0,True,Beca MacArthur; Bolsa MacArthur; Comhalta MacArthur; Grammy Award for Best Contemporary Instrumental Album; MacArthurova cena
19751,4w3tQBXhn5345eUXDGBWZG,dolly parton,9 To 5 And Odd Jobs,9 to 5,High,False,Medium,High,Very Happy,Country,Short,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,God Only Knows,True,2010.0,female,United States,alive,18.0,True,American Library Association Honorary Membership; American Music Award al millor àlbum country; American Music Award for Favorite Country Album; American Music Award för countryalbum; Country Music Association Award for Entertainer of the Year; Country Music Association Award for International Achievement; Favorite Country Album; Grammy Award for Best Bluegrass Album; Grammy Award for Best Country Song; Grammy Hall of Fame; Grammy Hall of Fame Award; Grammy Lifetime Achievement Award; Gwobr Time 100; Kennedy Pris; Naitional Medal o Airts; National Medal of Arts; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
75,38jy6kRlPt8z1GUS9WXeNh,jason mraz,Love Is a Four Letter Word,93 Million Miles,High,False,Medium,Medium,Neutral,Instrumental,Average,False,False,2009.0,52nd Annual GRAMMY Awards  (2009),Best Male Pop Vocal Performance,Make It Mine,True,2000.0,male,United States,alive,1.0,False,Songwriters Hall of Fame
92696,5oV0Z1w1yZePvSY2Q6gtnD,elvis presley,Aloha from Hawaii via Satellite (Legacy Edition),"A Big Hunk O' Love - Live at The Honolulu International Center, Hawaii January 14, 1973",Low,False,Medium,High,Very Happy,Rock,Short,False,True,1974.0,17th Annual GRAMMY Awards  (1974),Best Inspirational Performance (Non-Classical),How Great Thou Art,True,1970.0,male,United States,deceased,6.0,True,Grammy Award; Grammy Awards; Grammy Lifetime Achievement Award; Grammy Sariak; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
26337,3izdjgvK7XOjjWSpEIhJen,randy newman,Walt Disney Records The Legacy Collection: Disneyland,A Bug's Life Suite - From A Bug’s Land,Low,False,Low,Medium,Very Sad,Film/Show Music,Average,False,False,2017.0,60th Annual GRAMMY Awards  (2017),"Best Arrangement, Instruments and Vocals",Putin,True,2010.0,male,United States,alive,5.0,False,Gwobr Emmy 'Primetime'; Primetime Emmy Award; Primetime Emmy Awards; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
38741,6nPe8sU2LMR4i6VjRVPFh5,cyndi lauper,A Christmas Duel,A Christmas Duel,Low,True,Medium,High,Sad,Rock,Average,False,False,1984.0,27th Annual GRAMMY Awards  (1984),Best New Artist,Cyndi Lauper,True,1980.0,female,United States,alive,9.0,True,Grammy Award for Best Musical Show Album; Grammy Award for Best Musical Theater Album; Grammy Award for Best New Artist; Grammy Award for beste nye artist; Grammy al millor nou artista; Primetime Emmy Award for Outstanding Guest Actress in a Comedy Series; Tony Award for Best Original Score; Tony Award/Beste Originalmusik; star on Hollywood Walk of Fame
39553,5QFdOfeQlX8gp7ick31XRG,hans zimmer,The Dark Knight (Original Motion Picture Soundtrack),A Dark Knight,Medium,False,Low,Low,Very Sad,World Music,Very Long,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Score Soundtrack For Visual Media,The Lion King,True,2010.0,male,Germany,alive,10.0,True,"Goethe saria; Gold Medal of Merit in the Fine Arts; Grammy Award; Grammy Award for Best Arrangement, Instrumental and Vocals; Grammy Awards; Grammy Sariak; Saturn Award; Stephen Hawking Medal For Science Communication; Stephen Hawking Medal for Science Communication; star on Hollywood Walk of Fame"
84850,4XiDAxr6alWzxm24i2Rt4K,the beatles,Love,A Day In The Life,Medium,False,Medium,Medium,Very Sad,Rock,Long,False,False,2016.0,59th Annual GRAMMY Awards  (2016),Best Music Film,The Beatles: Eight Days A Week The Touring Years,True,2010.0,Unknown,Unknown,alive,12.0,True,Gradam Iontaobhaithe Grammy; Grammy Award for Album of the Year; Grammy Award for Best New Artist; Grammy Award for Best Pop Vocal Album; Grammy Award for beste nye artist; Grammy Lifetime Achievement Award; Grammy Trustees Award; Grammy al millor nou artista; Hollywood Walk of Fame; Rock and Roll Hall of Fame; Walk of Fame; star on Hollywood Walk of Fame
11276,0hKRSZhUGEhKU6aNSPBACZ,the beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),A Day In The Life - Remastered 2009,High,False,Medium,Medium,Very Sad,Pop,Long,False,True,2016.0,59th Annual GRAMMY Awards  (2016),Best Music Film,The Beatles: Eight Days A Week The Touring Years,True,2010.0,Unknown,Unknown,alive,12.0,True,Gradam Iontaobhaithe Grammy; Grammy Award for Album of the Year; Grammy Award for Best New Artist; Grammy Award for Best Pop Vocal Album; Grammy Award for beste nye artist; Grammy Lifetime Achievement Award; Grammy Trustees Award; Grammy al millor nou artista; Hollywood Walk of Fame; Rock and Roll Hall of Fame; Walk of Fame; star on Hollywood Walk of Fame
52533,1295HVfBmEtRedMVr7BAOy,george jones,The Essential George Jones,A Drunk Can't Be a Man,Low,False,High,Medium,Neutral,Blues,Short,False,False,1999.0,42nd Annual GRAMMY Awards  (1999),Best Male Country Vocal Performance,Choices,True,1990.0,male,Australia,deceased,8.0,True,Distinguished Flying Cross; Distinguished Flying Cross (Reino Unido); Distinguished Flying Cross (Storbritannien); Grammy Lifetime Achievement Award; Kennedy Pris; Keskoweth Ordyr Bath; Naitional Medal o Airts; National Medal of Arts
